Project ID;Year;Retired Credits;Issued Credits;Vintage Credits
ACR799;2022;3820,0;61861,0;61861,0
ACR807;2024;50171,0;120166,0;54307,0
ACR814;2023;13206,0;192244,0;113973,0
ACR826;2023;27101,0;132823,0;132823,0
ACR839;2023;23364,0;193364,0;193364,0
ACR841;2024;13844,0;179435,0;179435,0
ACR842;2024;2182,0;72468,0;72468,0
ACR844;2023;37051,0;192051,0;192051,0
ACR845;2024;31128,0;132837,0;64444,0
ACR849;2023;15943,0;15943,0;15943,0
ACR872;2023;647,0;86994,0;86994,0
ACR875;2023;10878,0;67967,0;67967,0
ACR889;2024;500,0;71037,0;71037,0
ACR893;2024;4175,0;40402,0;40402,0
ACR915;2024;60278,0;813632,0;813632,0
ACR1007;2024;79565,0;79565,0;79565,0
ACR1021;2024;3720,0;454639,0;218739,0
ACR1040;2024;42649,0;130298,0;130298,0
CAR101;2009;668,0;6752,0;41273,0
CAR101;2010;3230,0;170,0;18851,0
CAR101;2014;8611,0;7518,0;21403,0
CAR102;2008;161,0;281670,0;228839,0
CAR102;2009;142689,0;176102,0;151662,0
CAR102;2010;65829,0;99798,0;475532,0
CAR102;2011;112496,0;354305,0;30854,0
CAR102;2012;162376,0;10583,0;123755,0
CAR102;2013;68368,0;104211,0;212340,0
CAR102;2014;52507,0;212259,0;211630,0
CAR398;2010;1160,0;245506,0;156457,0
CAR398;2011;3840,0;138896,0;34930,0
CAR400;2011;111036,0;77458,0;138699,0
CAR400;2012;70000,0;138699,0;136521,0
CAR400;2013;22000,0;136521,0;140053,0
CAR400;2014;128385,0;140053,0;153858,0
CAR400;2015;58551,0;228484,0;74626,0
CAR400;2021;8100,0;198757,0;211183,0
CAR400;2022;3660,0;211183,0;212352,0
CAR400;2023;18640,0;212352,0;218257,0
CAR400;2024;274526,0;260983,0;42726,0
CAR402;2011;2316,0;17809,0;33024,0
CAR402;2014;31657,0;3359,0;29527,0
CAR403;2011;36097,0;71968,0;71792,0
CAR403;2022;49488,0;49488,0;29455,0
CAR403;2023;28499,0;28499,0;47946,0
CAR406;2013;2,0;29480,0;33031,0
CAR406;2015;67451,0;34420,0;47517,0
CAR406;2016;47517,0;47517,0;36593,0
CAR406;2018;120781,0;54708,0;48719,0
CAR406;2019;52772,0;48719,0;47365,0
CAR406;2020;47365,0;47365,0;40967,0
CAR406;2021;40967,0;40967,0;48724,0
CAR406;2022;48724,0;48724,0;42592,0
CAR406;2023;42592,0;42592,0;37920,0
CAR408;2009;634,0;212953,0;306289,0
CAR408;2010;200194,0;295000,0;235089,0
CAR408;2011;251685,0;234000,0;217691,0
CAR408;2012;102434,0;109194,0;662574,0
CAR408;2013;137156,0;157824,0;182536,0
CAR408;2014;109797,0;195123,0;213783,0
CAR409;2011;183449,0;106638,0;82137,0
CAR409;2012;97858,0;62742,0;84156,0
CAR409;2013;12042,0;42973,0;78705,0
CAR409;2014;163274,0;78705,0;78234,0
CAR409;2015;37302,0;78234,0;66642,0
CAR409;2016;36235,0;66642,0;54112,0
CAR411;2011;12207,0;11063,0;25655,0
CAR411;2013;33649,0;19111,0;16446,0
CAR411;2014;43908,0;16446,0;13694,0
CAR411;2015;15954,0;13694,0;11284,0
CAR412;2012;754,0;15316,0;4565,0
CAR416;2011;7559,0;7559,0;11462,0
CAR416;2012;10593,0;10593,0;13107,0
CAR416;2013;13465,0;13465,0;13064,0
CAR416;2014;12897,0;12897,0;14468,0
CAR416;2015;14347,0;14347,0;11998,0
CAR416;2016;24523,0;24523,0;11526,0
CAR416;2018;7801,0;7801,0;15883,0
CAR416;2019;16655,0;16655,0;14643,0
CAR416;2020;13882,0;13882,0;8263,0
CAR418;2009;1150,0;1236,0;11158,0
CAR418;2011;2515,0;3771,0;20567,0
CAR418;2012;1500,0;3739,0;19286,0
CAR418;2013;500,0;2302,0;18649,0
CAR419;2009;1088,0;1088,0;2262,0
CAR419;2011;2584,0;4584,0;13486,0
CAR422;2010;1334,0;40713,0;44473,0
CAR422;2012;2515,0;43487,0;42775,0
CAR422;2014;43085,0;85936,0;43498,0
CAR422;2015;86288,0;32791,0;45566,0
CAR422;2016;45566,0;45566,0;43396,0
CAR422;2017;17934,0;43396,0;42950,0
CAR422;2021;79899,0;123355,0;77442,0
CAR422;2022;176739,0;74141,0;75811,0
CAR422;2023;63378,0;81462,0;38486,0
CAR423;2010;31359,0;26053,0;31186,0
CAR423;2012;34046,0;23650,0;22284,0
CAR423;2013;45335,0;21685,0;20214,0
CAR423;2015;37910,0;37910,0;19340,0
CAR426;2009;2019,0;12019,0;19456,0
CAR426;2010;2700,0;19456,0;11798,0
CAR426;2011;13035,0;11798,0;28772,0
CAR432;2011;18066,0;66977,0;27039,0
CAR432;2013;44900,0;24900,0;22028,0
CAR432;2014;20405,0;41290,0;20315,0
CAR432;2016;20239,0;20239,0;18678,0
CAR432;2017;16236,0;16236,0;17741,0
CAR432;2018;18302,0;18302,0;15808,0
CAR432;2019;18718,0;26791,0;679,0
CAR434;2009;2152,0;12463,0;36585,0
CAR434;2010;2708,0;36585,0;44982,0
CAR434;2011;68083,0;44982,0;43337,0
CAR434;2012;3414,0;43337,0;49586,0
CAR434;2013;33030,0;49586,0;49814,0
CAR434;2014;91569,0;49814,0;48915,0
CAR434;2015;32027,0;59912,0;10997,0
CAR435;2009;23387,0;23387,0;54442,0
CAR435;2010;57967,0;57967,0;81444,0
CAR435;2011;86940,0;86940,0;80405,0
CAR435;2012;96459,0;96459,0;120032,0
CAR435;2013;119912,0;119912,0;127479,0
CAR435;2014;85349,0;85349,0;128811,0
